serveralias,country,year,survey,relpath,ext,ndir,code,surv,surveyid,folder1,folder2,filename,pos,ntoken,type
SSA,AGO,2014,PHC,AGO\AGO_2014_PHC\AGO_2014_PHC_v01_M_v01_A_SSAPOV\Data\Harmonized\AGO_2014_PHC_v01_M_v01_A_SSAPOV_L.dta,dta,5,AGO,AGO_2014_PHC,AGO_2014_PHC_v01_M_v01_A_SSAPOV,Data,Harmonized,AGO_2014_PHC_v01_M_v01_A_SSAPOV_L.dta,4,7,Harmonized
SSA,AGO,2015,IIMS,AGO\AGO_2015_IIMS\AGO_2015_IIMS_v01_M\Data\Stata\FDados_KIDS.dta,dta,5,AGO,AGO_2015_IIMS,AGO_2015_IIMS_v01_M,Data,Stata,FDados_KIDS.dta,4,4,RAW
SSA,AGO,2018,IDREA,AGO\AGO_2018_IDREA\AGO_2018_IDREA_v01_M\Data\Stata\basicvars.dta,dta,5,AGO,AGO_2018_IDREA,AGO_2018_IDREA_v01_M,Data,Stata,basicvars.dta,4,4,RAW
SSA,AGO,2018,IDREA,AGO\AGO_2018_IDREA\AGO_2018_IDREA_v01_M_v01_A_SSAPOV\Data\Harmonized\AGO_2018_IDREA_v01_M_v01_A_SSAPOV_GMD.dta,dta,5,AGO,AGO_2018_IDREA,AGO_2018_IDREA_v01_M_v01_A_SSAPOV,Data,Harmonized,AGO_2018_IDREA_v01_M_v01_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BDI,1998,EP,BDI\BDI_1998_EP\BDI_1998_EP_v01_M\Data\Stata\DEPENSES.dta,dta,5,BDI,BDI_1998_EP,BDI_1998_EP_v01_M,Data,Stata,DEPENSES.dta,4,4,RAW
SSA,BDI,1999,MICS,BDI\BDI_1999_MICS\BDI_1999_MICS_v01_M\Data\Stata\buch.dta,dta,5,BDI,BDI_1999_MICS,BDI_1999_MICS_v01_M,Data,Stata,buch.dta,4,4,RAW
SSA,BDI,2000,MICS,BDI\BDI_2000_MICS\BDI_2000_MICS_v01_M\Data\Stata\CH.dta,dta,5,BDI,BDI_2000_MICS,BDI_2000_MICS_v01_M,Data,Stata,CH.dta,4,4,RAW
SSA,BDI,2006,QUIBB,BDI\BDI_2006_QUIBB\BDI_2006_QUIBB_v01_M\Data\Stata\depenses_1.dta,dta,5,BDI,BDI_2006_QUIBB,BDI_2006_QUIBB_v01_M,Data,Stata,depenses_1.dta,4,4,RAW
SSA,BDI,2006,QUIBB,BDI\BDI_2006_QUIBB\BDI_2006_QUIBB_v01_M_v01_A_SSAPOV\Data\Harmonized\BDI_2006_QUIBB_v01_M_v01_A_SSAPOV_H.dta,dta,5,BDI,BDI_2006_QUIBB,BDI_2006_QUIBB_v01_M_v01_A_SSAPOV,Data,Harmonized,BDI_2006_QUIBB_v01_M_v01_A_SSAPOV_H.dta,4,7,Harmonized
SSA,BDI,2013,ECVMB,BDI\BDI_2013_ECVMB\BDI_2013_ECVMB_v01_M\Data\Stata\Calories.dta,dta,5,BDI,BDI_2013_ECVMB,BDI_2013_ECVMB_v01_M,Data,Stata,Calories.dta,4,4,RAW
SSA,BDI,2013,ECVMB,BDI\BDI_2013_ECVMB\BDI_2013_ECVMB_v01_M_v03_A_SSAPOV\Data\Harmonized\BDI_2013_ECVM_v01_M_v03_A_SSAPOV_GMD.dta,dta,5,BDI,BDI_2013_ECVMB,BDI_2013_ECVMB_v01_M_v03_A_SSAPOV,Data,Harmonized,BDI_2013_ECVM_v01_M_v03_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BDI,2013,ECVMB,BDI\BDI_2013_ECVMB\BDI_2013_ECVMB_v01_M_v04_A_SSAPOV\Data\Harmonized\BDI_2013_ECVM_v01_M_v04_A_SSAPOV_GMD.dta,dta,5,BDI,BDI_2013_ECVMB,BDI_2013_ECVMB_v01_M_v04_A_SSAPOV,Data,Harmonized,BDI_2013_ECVM_v01_M_v04_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BDI,2013,ECVMB,BDI\BDI_2013_ECVMB\BDI_2013_ECVMB_v01_M_v05_A_SSAPOV\Data\Harmonized\BDI_2013_ECVMB_v01_M_v05_A_SSAPOV_GMD.dta,dta,5,BDI,BDI_2013_ECVMB,BDI_2013_ECVMB_v01_M_v05_A_SSAPOV,Data,Harmonized,BDI_2013_ECVMB_v01_M_v05_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BEN,1996,EDMC,BEN\BEN_1996_EDMC\BEN_1996_EDMC_v01_M\Data\Stata\den1be91.dta,dta,5,BEN,BEN_1996_EDMC,BEN_1996_EDMC_v01_M,Data,Stata,den1be91.dta,4,4,RAW
SSA,BEN,2001,E123,BEN\BEN_2001_E123\BEN_2001_E123_v01_M\Data\Stata\demo.dta,dta,5,BEN,BEN_2001_E123,BEN_2001_E123_v01_M,Data,Stata,demo.dta,4,4,RAW
SSA,BEN,2003,QUIBB,BEN\BEN_2003_QUIBB\BEN_2003_QUIBB_v01_M\Data\Stata\depcour.dta,dta,5,BEN,BEN_2003_QUIBB,BEN_2003_QUIBB_v01_M,Data,Stata,depcour.dta,4,4,RAW
SSA,BEN,2003,QUIBB,BEN\BEN_2003_QUIBB\BEN_2003_QUIBB_v01_M_v01_A_SSAPOV\Data\Harmonized\BEN_2003_QUIBB_v01_M_v01_A_SSAPOV_P.dta,dta,5,BEN,BEN_2003_QUIBB,BEN_2003_QUIBB_v01_M_v01_A_SSAPOV,Data,Harmonized,BEN_2003_QUIBB_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,BEN,2007,EMICOV,BEN\BEN_2007_EMICOV\BEN_2007_EMICOV_v01_M\Data\Stata\emploi2007.dta,dta,5,BEN,BEN_2007_EMICOV,BEN_2007_EMICOV_v01_M,Data,Stata,emploi2007.dta,4,4,RAW
SSA,BEN,2010,EMICOV,BEN\BEN_2010_EMICOV\BEN_2010_EMICOV_v01_M\Data\Stata\emploi2009.dta,dta,5,BEN,BEN_2010_EMICOV,BEN_2010_EMICOV_v01_M,Data,Stata,emploi2009.dta,4,4,RAW
SSA,BEN,2010,EMICOV,BEN\BEN_2010_EMICOV\BEN_2010_EMICOV_v01_M_v01_A_SSAPOV\Data\Harmonized\BEN_2010_EMICOV_v01_M_v01_A_SSAPOV_P.dta,dta,5,BEN,BEN_2010_EMICOV,BEN_2010_EMICOV_v01_M_v01_A_SSAPOV,Data,Harmonized,BEN_2010_EMICOV_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,BEN,2011,EMICOV,BEN\BEN_2011_EMICOV\BEN_2011_EMICOV_v01_M\Data\Stata\emploi2011.dta,dta,5,BEN,BEN_2011_EMICOV,BEN_2011_EMICOV_v01_M,Data,Stata,emploi2011.dta,4,4,RAW
SSA,BEN,2011,EMICOV,BEN\BEN_2011_EMICOV\BEN_2011_EMICOV_v01_M_v01_A_SSAPOV\Data\Harmonized\BEN_2011_EMICOV_v01_M_v01_A_SSAPOV_P.dta,dta,5,BEN,BEN_2011_EMICOV,BEN_2011_EMICOV_v01_M_v01_A_SSAPOV,Data,Harmonized,BEN_2011_EMICOV_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,BEN,2015,EMICOV,BEN\BEN_2015_EMICOV\BEN_2015_EMICOV_v01_M\Data\Stata\consommation.dta,dta,5,BEN,BEN_2015_EMICOV,BEN_2015_EMICOV_v01_M,Data,Stata,consommation.dta,4,4,RAW
SSA,BEN,2015,EMICOV,BEN\BEN_2015_EMICOV\BEN_2015_EMICOV_v01_M_v03_A_SSAPOV\Data\Harmonized\BEN_2015_EMICOV_v01_M_v03_A_SSAPOV_GMD.dta,dta,5,BEN,BEN_2015_EMICOV,BEN_2015_EMICOV_v01_M_v03_A_SSAPOV,Data,Harmonized,BEN_2015_EMICOV_v01_M_v03_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BFA,1994,EP-I,BFA\BFA_1994_EP-I\BFA_1994_EP-I_v01_M\Data\Stata\aggr.dta,dta,5,BFA,BFA_1994_EP-I,BFA_1994_EP-I_v01_M,Data,Stata,aggr.dta,4,4,RAW
SSA,BFA,1994,EP-I,BFA\BFA_1994_EP-I\BFA_1994_EP-I_v01_M_v01_A_SSAPOV\Data\Harmonized\BFA_1994_EP-I_v01_M_v01_A_SSAPOV_P.dta,dta,5,BFA,BFA_1994_EP-I,BFA_1994_EP-I_v01_M_v01_A_SSAPOV,Data,Harmonized,BFA_1994_EP-I_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,BFA,1996,EDM,BFA\BFA_1996_EDM\BFA_1996_EDM_v01_M\Data\Stata\den1be91.dta,dta,5,BFA,BFA_1996_EDM,BFA_1996_EDM_v01_M,Data,Stata,den1be91.dta,4,4,RAW
SSA,BFA,1998,EP-II,BFA\BFA_1998_EP-II\BFA_1998_EP-II_v01_M\Data\Stata\AGGR.dta,dta,5,BFA,BFA_1998_EP-II,BFA_1998_EP-II_v01_M,Data,Stata,AGGR.dta,4,4,RAW
SSA,BFA,1998,EP-II,BFA\BFA_1998_EP-II\BFA_1998_EP-II_v01_M_v01_A_SSAPOV\Data\Harmonized\BFA_1998_EP-II_v01_M_v01_A_SSAPOV_P.dta,dta,5,BFA,BFA_1998_EP-II,BFA_1998_EP-II_v01_M_v01_A_SSAPOV,Data,Harmonized,BFA_1998_EP-II_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,BFA,2003,ECVM,BFA\BFA_2003_ECVM\BFA_2003_ECVM_v01_M\Data\Stata\Alimentaire.dta,dta,5,BFA,BFA_2003_ECVM,BFA_2003_ECVM_v01_M,Data,Stata,Alimentaire.dta,4,4,RAW
SSA,BFA,2003,ECVM,BFA\BFA_2003_ECVM\BFA_2003_ECVM_v01_M_v02_A_SSAPOV\Data\Harmonized\BFA_2003_ECVM_v01_M_v02_A_SSAPOV_H.dta,dta,5,BFA,BFA_2003_ECVM,BFA_2003_ECVM_v01_M_v02_A_SSAPOV,Data,Harmonized,BFA_2003_ECVM_v01_M_v02_A_SSAPOV_H.dta,4,7,Harmonized
SSA,BFA,2007,QUIBB,BFA\BFA_2007_QUIBB\BFA_2007_QUIBB_v01_M\Data\Stata\enfant.dta,dta,5,BFA,BFA_2007_QUIBB,BFA_2007_QUIBB_v01_M,Data,Stata,enfant.dta,4,4,RAW
SSA,BFA,2009,EICVM,BFA\BFA_2009_EICVM\BFA_2009_EICVM_v01_M\Data\Stata\CQ02.dta,dta,5,BFA,BFA_2009_EICVM,BFA_2009_EICVM_v01_M,Data,Stata,CQ02.dta,4,4,RAW
SSA,BFA,2009,EICVM,BFA\BFA_2009_EICVM\BFA_2009_EICVM_v01_M_v01_A_SSAPOV\Data\Harmonized\BFA_2009_EICVM_v01_M_v01_A_SSAPOV_H.dta,dta,5,BFA,BFA_2009_EICVM,BFA_2009_EICVM_v01_M_v01_A_SSAPOV,Data,Harmonized,BFA_2009_EICVM_v01_M_v01_A_SSAPOV_H.dta,4,7,Harmonized
SSA,BFA,2014,EMC,BFA\BFA_2014_EMC\BFA_2014_EMC_v01_M\Data\Stata\emc2014_p1_biensdurables_27022015.dta,dta,5,BFA,BFA_2014_EMC,BFA_2014_EMC_v01_M,Data,Stata,emc2014_p1_biensdurables_27022015.dta,4,4,RAW
SSA,BFA,2014,EMC,BFA\BFA_2014_EMC\BFA_2014_EMC_v01_M_v01_A_SSAPOV\Data\Harmonized\BFA_2014_EMC_v01_M_v01_A_SSAPOV_GMD.dta,dta,5,BFA,BFA_2014_EMC,BFA_2014_EMC_v01_M_v01_A_SSAPOV,Data,Harmonized,BFA_2014_EMC_v01_M_v01_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BFA,2014,EMC,BFA\BFA_2014_EMC\BFA_2014_EMC_v01_M_v02_A_SSAPOV\Data\Harmonized\BFA_2014_EMC_v01_M_v02_A_SSAPOV_GMD.dta,dta,5,BFA,BFA_2014_EMC,BFA_2014_EMC_v01_M_v02_A_SSAPOV,Data,Harmonized,BFA_2014_EMC_v01_M_v02_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BFA,2014,EMC,BFA\BFA_2014_EMC\BFA_2014_EMC_v01_M_v03_A_SSAPOV\Data\Harmonized\BFA_2014_EMC_v01_M_v03_A_SSAPOV_GMD.dta,dta,5,BFA,BFA_2014_EMC,BFA_2014_EMC_v01_M_v03_A_SSAPOV,Data,Harmonized,BFA_2014_EMC_v01_M_v03_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BFA,2014,EMC,BFA\BFA_2014_EMC\BFA_2014_EMC_v01_M_v04_A_SSAPOV\Data\Harmonized\BFA_2014_EMC_v01_M_v04_A_SSAPOV_GMD.dta,dta,5,BFA,BFA_2014_EMC,BFA_2014_EMC_v01_M_v04_A_SSAPOV,Data,Harmonized,BFA_2014_EMC_v01_M_v04_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BWA,2001,GYTS,BWA\BWA_2001_GYTS\BWA_2001_GYTS_v01_M\Data\Stata\BOTSWANA_01.dta,dta,5,BWA,BWA_2001_GYTS,BWA_2001_GYTS_v01_M,Data,Stata,BOTSWANA_01.dta,4,4,RAW
SSA,BWA,2002,HIES,BWA\BWA_2002_HIES\BWA_2002_HIES_v01_M\Data\Stata\hiesdata_ind.dta,dta,5,BWA,BWA_2002_HIES,BWA_2002_HIES_v01_M,Data,Stata,hiesdata_ind.dta,4,4,RAW
SSA,BWA,2002,HIES,BWA\BWA_2002_HIES\BWA_2002_HIES_v01_M_v01_A_SSAPOV\Data\Harmonized\BWA_2002_HIES_v01_M_v01_A_SSAPOV_P.dta,dta,5,BWA,BWA_2002_HIES,BWA_2002_HIES_v01_M_v01_A_SSAPOV,Data,Harmonized,BWA_2002_HIES_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,BWA,2005,LFS,BWA\BWA_2005_LFS\BWA_2005_LFS_v01_M\Data\Stata\blsf-2005-2006-v1-20140225.dta,dta,5,BWA,BWA_2005_LFS,BWA_2005_LFS_v01_M,Data,Stata,blsf-2005-2006-v1-20140225.dta,4,4,RAW
SSA,BWA,2008,AIS-III,BWA\BWA_2008_AIS-III\BWA_2008_AIS-III_v01_M\Data\Stata\bais-iii-2008-hc.dta,dta,5,BWA,BWA_2008_AIS-III,BWA_2008_AIS-III_v01_M,Data,Stata,bais-iii-2008-hc.dta,4,4,RAW
SSA,BWA,2008,GYTS,BWA\BWA_2008_GYTS\BWA_2008_GYTS_v01_M\Data\Stata\botswana_08.dta,dta,5,BWA,BWA_2008_GYTS,BWA_2008_GYTS_v01_M,Data,Stata,botswana_08.dta,4,4,RAW
SSA,BWA,2009,CWIS,BWA\BWA_2009_CWIS\BWA_2009_CWIS_v01_M\Data\Stata\bcwis_hhldfile_anon_oct_2013.dta,dta,5,BWA,BWA_2009_CWIS,BWA_2009_CWIS_v01_M,Data,Stata,bcwis_hhldfile_anon_oct_2013.dta,4,4,RAW
SSA,BWA,2009,CWIS,BWA\BWA_2009_CWIS\BWA_2009_CWIS_v01_M_v01_A_SSAPOV\Data\Harmonized\BWA_2009_CWIS_v01_M_v01_A_SSAPOV_H.dta,dta,5,BWA,BWA_2009_CWIS,BWA_2009_CWIS_v01_M_v01_A_SSAPOV,Data,Harmonized,BWA_2009_CWIS_v01_M_v01_A_SSAPOV_H.dta,4,7,Harmonized
SSA,BWA,2013,AIS-IV,BWA\BWA_2013_AIS-IV\BWA_2013_AIS-IV_v01_M\Data\Stata\bais-iv-2013-20150319-v1.dta,dta,5,BWA,BWA_2013_AIS-IV,BWA_2013_AIS-IV_v01_M,Data,Stata,bais-iv-2013-20150319-v1.dta,4,4,RAW
SSA,BWA,2015,BMTHS,BWA\BWA_2015_BMTHS\BWA_2015_BMTHS_v01_M\Data\Stata\adjustment.dta,dta,5,BWA,BWA_2015_BMTHS,BWA_2015_BMTHS_v01_M,Data,Stata,adjustment.dta,4,4,RAW
SSA,BWA,2015,BMTHS,BWA\BWA_2015_BMTHS\BWA_2015_BMTHS_v01_M_v01_A_SSAPOV\Data\Harmonized\BWA_2015_BMTHS_v01_M_v01_A_SSAPOV_GMD.dta,dta,5,BWA,BWA_2015_BMTHS,BWA_2015_BMTHS_v01_M_v01_A_SSAPOV,Data,Harmonized,BWA_2015_BMTHS_v01_M_v01_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BWA,2015,BMTHS,BWA\BWA_2015_BMTHS\BWA_2015_BMTHS_v01_M_v02_A_SSAPOV\Data\Harmonized\BWA_2015_BMTHS_v01_M_v02_A_SSAPOV_H.dta,dta,5,BWA,BWA_2015_BMTHS,BWA_2015_BMTHS_v01_M_v02_A_SSAPOV,Data,Harmonized,BWA_2015_BMTHS_v01_M_v02_A_SSAPOV_H.dta,4,7,Harmonized
SSA,BWA,2015,BMTHS,BWA\BWA_2015_BMTHS\BWA_2015_BMTHS_v01_M_v03_A_SSAPOV\Data\Harmonized\BWA_2015_BMTHS_v01_M_v03_A_SSAPOV_GMD.dta,dta,5,BWA,BWA_2015_BMTHS,BWA_2015_BMTHS_v01_M_v03_A_SSAPOV,Data,Harmonized,BWA_2015_BMTHS_v01_M_v03_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,BWA,2015,BMTHS,BWA\BWA_2015_BMTHS\BWA_2015_BMTHS_v01_M_v04_A_SSAPOV\Data\Harmonized\BWA_2015_BMTHS_v01_M_v04_A_SSAPOV_GMD.dta,dta,5,BWA,BWA_2015_BMTHS,BWA_2015_BMTHS_v01_M_v04_A_SSAPOV,Data,Harmonized,BWA_2015_BMTHS_v01_M_v04_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,CAF,1992,EPCM,CAF\CAF_1992_EPCM\CAF_1992_EPCM_v01_M\Data\Stata\ds1.dta,dta,5,CAF,CAF_1992_EPCM,CAF_1992_EPCM_v01_M,Data,Stata,ds1.dta,4,4,RAW
SSA,CAF,2000,MICS,CAF\CAF_2000_MICS\CAF_2000_MICS_v01_M\Data\Stata\chrcaf.dta,dta,5,CAF,CAF_2000_MICS,CAF_2000_MICS_v01_M,Data,Stata,chrcaf.dta,4,4,RAW
SSA,CAF,2003,ECASEB,CAF\CAF_2003_ECASEB\CAF_2003_ECASEB_v01_M\Data\Stata\ecvind_fin.dta,dta,5,CAF,CAF_2003_ECASEB,CAF_2003_ECASEB_v01_M,Data,Stata,ecvind_fin.dta,4,4,RAW
SSA,CAF,2008,ECASEB,CAF\CAF_2008_ECASEB\CAF_2008_ECASEB_v01_M\Data\Stata\carquib2008welfare.dta,dta,5,CAF,CAF_2008_ECASEB,CAF_2008_ECASEB_v01_M,Data,Stata,carquib2008welfare.dta,4,4,RAW
SSA,CAF,2008,ECASEB,CAF\CAF_2008_ECASEB\CAF_2008_ECASEB_v01_M_v01_A_SSAPOV\Data\Harmonized\CAF_2008_ECASEB_v01_M_v01_A_SSAPOV_H.dta,dta,5,CAF,CAF_2008_ECASEB,CAF_2008_ECASEB_v01_M_v01_A_SSAPOV,Data,Harmonized,CAF_2008_ECASEB_v01_M_v01_A_SSAPOV_H.dta,4,7,Harmonized
SSA,CAF,2008,ECASEB,CAF\CAF_2008_ECASEB\CAF_2008_ECASEB_v01_M_v03_A_SSAPOV\Data\Harmonized\CAF_2008_ECASEB_v01_M_v03_A_SSAPOV_GMD.dta,dta,5,CAF,CAF_2008_ECASEB,CAF_2008_ECASEB_v01_M_v03_A_SSAPOV,Data,Harmonized,CAF_2008_ECASEB_v01_M_v03_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,CAF,2008,ECASEB,CAF\CAF_2008_ECASEB\CAF_2008_ECASEB_v01_M_v04_A_SSAPOV\Data\Harmonized\CAF_2008_ECASEB_v01_M_v04_A_SSAPOV_GMD.dta,dta,5,CAF,CAF_2008_ECASEB,CAF_2008_ECASEB_v01_M_v04_A_SSAPOV,Data,Harmonized,CAF_2008_ECASEB_v01_M_v04_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,CIV,1985,EPAM,CIV\CIV_1985_EPAM\CIV_1985_EPAM_v01_M\Data\Stata\CI_cons_aggr_85_93_98_02_08.dta,dta,5,CIV,CIV_1985_EPAM,CIV_1985_EPAM_v01_M,Data,Stata,CI_cons_aggr_85_93_98_02_08.dta,4,4,RAW
SSA,CIV,1986,EPAM,CIV\CIV_1986_EPAM\CIV_1986_EPAM_v01_M\Data\Stata\comm86.dta,dta,5,CIV,CIV_1986_EPAM,CIV_1986_EPAM_v01_M,Data,Stata,comm86.dta,4,4,RAW
SSA,CIV,1987,EPAM,CIV\CIV_1987_EPAM\CIV_1987_EPAM_v01_M\Data\Stata\f00a.dta,dta,5,CIV,CIV_1987_EPAM,CIV_1987_EPAM_v01_M,Data,Stata,f00a.dta,4,4,RAW
SSA,CIV,1988,EPAM,CIV\CIV_1988_EPAM\CIV_1988_EPAM_v01_M\Data\Stata\hhexp88.dta,dta,5,CIV,CIV_1988_EPAM,CIV_1988_EPAM_v01_M,Data,Stata,hhexp88.dta,4,4,RAW
SSA,CIV,1992,EP,CIV\CIV_1992_EP\CIV_1992_EP_v01_M\Data\Stata\exp93cjn.dta,dta,5,CIV,CIV_1992_EP,CIV_1992_EP_v01_M,Data,Stata,exp93cjn.dta,4,4,RAW
SSA,CIV,1995,ENV,CIV\CIV_1995_ENV\CIV_1995_ENV_v01_M\Data\Stata\HHEXP95.dta,dta,5,CIV,CIV_1995_ENV,CIV_1995_ENV_v01_M,Data,Stata,HHEXP95.dta,4,4,RAW
SSA,CIV,1996,UEMOA,CIV\CIV_1996_UEMOA\CIV_1996_UEMOA_v01_M\Data\Stata\pdcith91.dta,dta,5,CIV,CIV_1996_UEMOA,CIV_1996_UEMOA_v01_M,Data,Stata,pdcith91.dta,4,4,RAW
SSA,CIV,1998,EDSM,CIV\CIV_1998_EDSM\CIV_1998_EDSM_v01_M\Data\Stata\FEMME98.dta,dta,5,CIV,CIV_1998_EDSM,CIV_1998_EDSM_v01_M,Data,Stata,FEMME98.dta,4,4,RAW
SSA,CIV,1998,ENV,CIV\CIV_1998_ENV\CIV_1998_ENV_v01_M\Data\Stata\CI_cons_aggr_85_93_98_02_08.dta,dta,5,CIV,CIV_1998_ENV,CIV_1998_ENV_v01_M,Data,Stata,CI_cons_aggr_85_93_98_02_08.dta,4,4,RAW
SSA,CIV,1998,ENV,CIV\CIV_1998_ENV\CIV_1998_ENV_v01_M_v02_A_SSAPOV\Data\Harmonized\CIV_1998_ENV_v01_M_v02_A_SSAPOV_P.dta,dta,5,CIV,CIV_1998_ENV,CIV_1998_ENV_v01_M_v02_A_SSAPOV,Data,Harmonized,CIV_1998_ENV_v01_M_v02_A_SSAPOV_P.dta,4,7,Harmonized
SSA,CIV,2002,ENV,CIV\CIV_2002_ENV\CIV_2002_ENV_v01_M\Data\Stata\CIV ENV2002 head age.dta,dta,5,CIV,CIV_2002_ENV,CIV_2002_ENV_v01_M,Data,Stata,CIV ENV2002 head age.dta,4,4,RAW
SSA,CIV,2002,ENV,CIV\CIV_2002_ENV\CIV_2002_ENV_v01_M_v01_A_SSAPOV\Data\Harmonized\CIV_2002_ENV_v01_M_v01_A_SSAPOV_P.dta,dta,5,CIV,CIV_2002_ENV,CIV_2002_ENV_v01_M_v01_A_SSAPOV,Data,Harmonized,CIV_2002_ENV_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,CIV,2002,ENV,CIV\CIV_2002_ENV\CIV_2002_ENV_v01_M_v02_A_SSAPOV\Data\Harmonized\CIV_2002_ENV_v01_M_v02_A_SSAPOV_P.dta,dta,5,CIV,CIV_2002_ENV,CIV_2002_ENV_v01_M_v02_A_SSAPOV,Data,Harmonized,CIV_2002_ENV_v01_M_v02_A_SSAPOV_P.dta,4,7,Harmonized
SSA,CIV,2008,ENV,CIV\CIV_2008_ENV\CIV_2008_ENV_v01_M\Data\Stata\a.dta,dta,5,CIV,CIV_2008_ENV,CIV_2008_ENV_v01_M,Data,Stata,a.dta,4,4,RAW
SSA,CIV,2008,ENV,CIV\CIV_2008_ENV\CIV_2008_ENV_v01_M_v02_A_SSAPOV\Data\Harmonized\CIV_2008_ENV_v01_M_v02_A_SSAPOV_P.dta,dta,5,CIV,CIV_2008_ENV,CIV_2008_ENV_v01_M_v02_A_SSAPOV,Data,Harmonized,CIV_2008_ENV_v01_M_v02_A_SSAPOV_P.dta,4,7,Harmonized
