serveralias,country,year,survey,relpath,ext,ndir,code,surv,surveyid,folder1,folder2,filename,pos,ntoken,type
SSA,AGO,1993,MICS,AGO\AGO_1993_MICS\AGO_1993_MICS_v01_M\Data\Stata\anch.dta,dta,5,AGO,AGO_1993_MICS,AGO_1993_MICS_v01_M,Data,Stata,anch.dta,4,4,RAW
SSA,AGO,1995,IP,AGO\AGO_1995_IP\AGO_1995_IP_v01_M\Data\Stata\ang_95_h.dta,dta,5,AGO,AGO_1995_IP,AGO_1995_IP_v01_M,Data,Stata,ang_95_h.dta,4,4,RAW
SSA,AGO,1996,MICS,AGO\AGO_1996_MICS\AGO_1996_MICS_v01_M\Data\Stata\AGUASA~1.dta,dta,5,AGO,AGO_1996_MICS,AGO_1996_MICS_v01_M,Data,Stata,AGUASA~1.dta,4,4,RAW
SSA,AGO,2000,HBS,AGO\AGO_2000_HBS\AGO_2000_HBS_v01_M\Data\Stata\FMEMBROS.dta,dta,5,AGO,AGO_2000_HBS,AGO_2000_HBS_v01_M,Data,Stata,FMEMBROS.dta,4,4,RAW
SSA,AGO,2000,HBS,AGO\AGO_2000_HBS\AGO_2000_HBS_v01_M_v01_A_SSAPOV\Data\Harmonized\AGO_2000_HBS_v01_M_v01_A_SSAPOV_P.dta,dta,5,AGO,AGO_2000_HBS,AGO_2000_HBS_v01_M_v01_A_SSAPOV,Data,Harmonized,AGO_2000_HBS_v01_M_v01_A_SSAPOV_P.dta,4,7,Harmonized
SSA,AGO,2008,IBEP-MICS,AGO\AGO_2008_IBEP-MICS\AGO_2008_IBEP-MICS_v02_M\Data\Stata\basicvars.dta,dta,5,AGO,AGO_2008_IBEP-MICS,AGO_2008_IBEP-MICS_v02_M,Data,Stata,basicvars.dta,4,4,RAW
SSA,AGO,2008,IBEP-MICS,AGO\AGO_2008_IBEP-MICS\AGO_2008_IBEP-MICS_v02_M_v01_A_SSAPOV\Data\Harmonized\AGO_2008_IBEP-MICS_v02_M_v01_A_SSAPOV_H.dta,dta,5,AGO,AGO_2008_IBEP-MICS,AGO_2008_IBEP-MICS_v02_M_v01_A_SSAPOV,Data,Harmonized,AGO_2008_IBEP-MICS_v02_M_v01_A_SSAPOV_H.dta,4,7,Harmonized
SSA,AGO,2008,IBEP-MICS,AGO\AGO_2008_IBEP-MICS\AGO_2008_IBEP-MICS_v02_M_v02_A_SSAPOV\Data\Harmonized\AGO_2008_IBEP-MICS_v02_M_v02_A_SSAPOV_GMD.dta,dta,5,AGO,AGO_2008_IBEP-MICS,AGO_2008_IBEP-MICS_v02_M_v02_A_SSAPOV,Data,Harmonized,AGO_2008_IBEP-MICS_v02_M_v02_A_SSAPOV_GMD.dta,4,7,Harmonized
SSA,AGO,2008,IBEP-MICS,AGO\AGO_2008_IBEP-MICS\AGO_2008_IBEP_v01_M\Data\Stata\assets.dta,dta,5,AGO,AGO_2008_IBEP-MICS,AGO_2008_IBEP_v01_M,Data,Stata,assets.dta,4,4,RAW
SSA,AGO,2014,PHC,AGO\AGO_2014_PHC\AGO_2014_PHC_v01_M\Data\Stata\census_partial.dta,dta,5,AGO,AGO_2014_PHC,AGO_2014_PHC_v01_M,Data,Stata,census_partial.dta,4,4,RAW
